PROCESS_DATE|TRANSACT_DATE|SUPPLIER_NO|SUPPLIER_NAME|STORE_NO|STORE_NAME|CLASS|DEPT|GROUP|BRAND|WORLD|COLOUR|SIZE|ITEM|BARCODE|QTY|ITEM_PRICE|GROSS_AMT|DISC_AUTO|DISC_PROMO|DISC_EMPLOYEE|DISC_FREE_ITEM|DISC_STRUK|DISC_PCT|NET_AMT|POS_NO|TRANSACT_NO|TRANSACT_LINE_NO
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|296|"Serang MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|32|14086474|618112087232|1|399000|399000|0|0|0|0|0|0|399000|01055|3962|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|326|"Lippo PLZ MAL Jember"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|29|15331607|620231014429|1|290000|290000|0|0|0|0|0|0|290000|03020|134|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|413|"Kediri Town Sq MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|29|15331607|620231014429|1|290000|290000|0|0|0|0|0|0|290000|01024|8785|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|677|"Grage MAL Cirebon"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|29|15331607|620231014429|1|290000|290000|0|0|0|0|0|0|290000|02011|9366|3
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|415|"Plaza MAL Madiun"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|29|15331607|620231014429|1|290000|290000|0|0|0|0|0|0|290000|01033|6153|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|311|"Duta MAL BJM"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|27|15331563|620231010327|1|290000|290000|0|0|0|0|0|0|290000|01006|6834|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|333|"Manado Town Sq MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|27|15331563|620231010327|1|290000|290000|0|0|0|0|0|0|290000|02047|8882|9
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|258|"Mandau City TC DURI"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|31|15331536|620231010331|1|290000|290000|0|0|0|0|0|0|290000|01008|3006|4
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|399|"Icon MAL Gresik"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|31|15331536|620231010331|1|290000|290000|0|0|0|0|0|0|290000|02021|9548|3
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|537|"Johar Plaza TC JMR"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|31|15331536|620231010331|1|290000|290000|0|0|0|0|0|0|290000|02007|6264|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|261|"Plaza Medan Fair TC"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|33|15331956|620231023933|1|290000|290000|0|0|0|0|0|0|290000|01039|4192|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|328|"THE PARK MAL SMG"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|"NAVY BLUE"|XL|15331938|230007019204|1|329000|329000|164500|0|0|0|0|50|164500|02043|2274|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|311|"Duta MAL BJM"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLACK|27|15331894|620231010227|1|290000|290000|0|0|0|0|0|0|290000|01006|6834|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|381|"Singosaren MAL Solo"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLACK|27|15331894|620231010227|1|290000|290000|0|0|0|0|0|0|290000|01017|9261|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|334|"OPI MAL Palembang"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|27|15331849|620231013927|1|290000|290000|0|0|0|0|0|0|290000|01005|7562|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|697|"Plaza Pekalongan MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|27|15331849|620231013927|1|290000|290000|0|0|0|0|0|0|290000|01023|9794|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|553|"Thamrin PLZ MAL MDN"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|27|15331849|620231013927|1|290000|290000|0|0|0|0|0|0|290000|04018|8211|3
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|311|"Duta MAL BJM"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|31|15331830|620231013931|1|290000|290000|0|0|0|0|0|0|290000|01008|7030|4
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|673|"Daan Mogot MAL JKT"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|30|15331661|620231013930|1|290000|290000|0|0|0|0|0|0|290000|01005|4247|6
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|804|"Matahari HS PWT"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|34|15332491|620231024434|1|290000|290000|0|0|0|0|0|0|290000|01004|7381|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|537|"Johar Plaza TC JMR"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|36|15332437|620231020336|1|290000|290000|0|0|0|0|0|0|290000|02007|6264|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|677|"Grage MAL Cirebon"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|36|15332437|620231020336|1|290000|290000|0|0|0|0|0|0|290000|02045|9527|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|645|"Medan MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLACK|34|15332375|620231020234|1|290000|290000|0|0|0|0|0|0|290000|01008|9990|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|303|"Solo Square MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|33|15332357|620231024433|1|290000|290000|0|0|0|0|0|0|290000|01004|1520|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|677|"Grage MAL Cirebon"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|33|15332357|620231024433|1|290000|290000|0|0|0|0|0|0|290000|02011|9366|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|415|"Plaza MAL Madiun"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|33|15332357|620231024433|1|290000|290000|0|0|0|0|0|0|290000|02031|6048|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|338|"Palembang Square MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|28|15332348|620231014428|1|290000|290000|0|0|0|0|0|0|290000|80122|2431|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|276|"Bondowoso MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|RED|M|15332311|113228019502|1|569000|569000|170700|0|0|0|0|30|398300|01031|4991|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|677|"Grage MAL Cirebon"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|M|15801715|102061015103|1|429000|429000|0|214500|0|0|0|50|214500|80304|8078|3
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|415|"Plaza MAL Madiun"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|M|15801715|102061015103|1|429000|429000|0|214500|0|0|0|50|214500|80201|4465|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|473|"Gress MAL Gresik"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|WHITE|M|15801699|102063010103|1|429000|429000|0|214500|0|0|0|50|214500|80120|486|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|426|"Matahari HS TSM"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|WHITE|S|15801591|113018030102|1|399000|399000|199500|0|0|0|0|50|199500|01004|3638|3
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|326|"Lippo PLZ MAL Jember"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|"NAVY BLUE"|XL|15801555|102058029204|1|369000|369000|0|184500|0|0|0|50|184500|80358|7882|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|326|"Lippo PLZ MAL Jember"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|"NAVY BLUE"|XL|15801555|102058029204|1|369000|369000|184500|0|0|0|0|50|184500|03020|142|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|653|"Lippo MAL Cikarang"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|MAROON|M|15332900|207007795902|1|149000|149000|0|0|0|0|0|0|149000|90204|5087|8
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|643|"Ambon Indah Plaza TC"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREEN|L|15332795|112263025703|1|499000|499000|0|249500|0|0|0|50|249500|90493|2013|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|339|"Artha Gading MAL JKT"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|KHAKI|36|15332713|620231024436|1|290000|290000|0|0|0|0|0|0|290000|02017|7444|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|677|"Grage MAL Cirebon"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|31|16321796|617029165431|1|290000|290000|0|0|0|0|0|0|290000|02010|9218|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|358|"CSB MAL Cirebon"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|"NAVY BLUE"|XL|16321643|102096019904|1|399000|399000|0|199500|0|0|0|50|199500|80518|5558|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|453|"Supermal Karawaci"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BROWN|33|16321607|620231022733|1|290000|290000|0|0|0|0|0|0|290000|02008|7318|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|643|"Ambon Indah Plaza TC"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|31|16321492|616181015431|1|629000|629000|314500|0|0|0|0|50|314500|02016|3522|5
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|256|"Kaza City MAL SBY"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLACK|L|16321330|230007080203|1|299000|299000|149500|0|0|0|0|50|149500|02022|8827|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|405|"Lembuswana TC SMR"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|36|16321152|618064017236|1|369000|369000|0|0|0|0|0|0|369000|02016|5195|4
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|264|"Palu Grand MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|WHITE|L|16321143|112018030103|1|369000|369000|0|184500|0|0|0|50|184500|80501|2822|2
