PROCESS_DATE|TRANSACT_DATE|SUPPLIER_NO|SUPPLIER_NAME|STORE_NO|STORE_NAME|CLASS|DEPT|GROUP|BRAND|WORLD|COLOUR|SIZE|ITEM|BARCODE|QTY|ITEM_PRICE|GROSS_AMT|DISC_AUTO|DISC_PROMO|DISC_EMPLOYEE|DISC_FREE_ITEM|DISC_STRUK|DISC_PCT|NET_AMT|POS_NO|TRANSACT_NO|TRANSACT_LINE_NO
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|261|"Plaza Medan Fair TC"|"T-SHIRT BASIC"|"USED JEANS"|"MEN YOUNG CASUAL"|"OTO ONO JEANS"|"MEN DENIM"|WHITE|M|50353018|214077015602|1|539000|539000|161700|0|0|0|0|30|377300|01102|4925|1
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|296|"Serang MAL"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|WHITE|M|16496312|870032022802|1|229000|229000|0|0|0|0|0|0|229000|02008|4499|1
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|355|"E Walk MAL BPP"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|GREEN|L|15799372|866005015803|1|229000|229000|0|0|0|0|0|0|229000|02028|8005|3
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|402|"Uptown Mall Semarang"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|GREEN|L|15799372|866005015803|1|229000|229000|0|0|0|0|0|0|229000|02008|2748|3
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|241|"BIG MAL Samarinda"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|GREEN|L|15799372|866005015803|1|229000|229000|0|0|0|0|0|0|229000|02036|2228|2
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|293|"Royal Plaza TC SBY"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|GREEN|L|15799372|866005015803|1|229000|229000|0|0|0|0|0|0|229000|02011|6261|3
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|649|"Galeria MAL Yogya"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|BLACK|L|15799130|866005010103|1|229000|229000|0|0|0|0|0|0|229000|02050|3590|2
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|653|"Lippo MAL Cikarang"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|BLACK|L|15799130|866005010103|1|229000|229000|0|0|0|0|0|0|229000|02020|8389|1
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|445|"PTC MAL TC PLG"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|YELLOW|XL|15799112|866005011204|1|229000|229000|0|0|0|0|0|0|229000|02021|5178|2
08-03-2025|08-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|387|"Manhattan MAL Medan"|T-SHIRT|"EMBA CLASSIC"|"MEN CONTEMP CASUAL"|"EMBA CLASSIC"|"MEN CASUAL"|WHITE|XL|15317212|868003012804|1|249000|249000|0|0|0|0|0|0|249000|03017|1924|4
